State,Public Road Length,Major Airports,Population,Employment,Licensed Drivers,Registered Vehicles,Number of Workers,Drove Alone ,Carpooled ,Public Transportation exc Taxicab ,Walked ,"Taxicab, Motorcycle, Bicycle or Other Means ",Worked at Home ,Mean Travel Time to Work 
Alabama,101837.0,9.0,4.8,1.6,3.9,4.8,2.0,86.4,8.5,0.5,1.0,1.0,2.5,23.6
Alaska,15680.0,26.0,0.7,0.3,0.5,0.8,0.4,66.7,13.0,1.8,8.8,5.4,4.3,18.4
Arizona,66441.0,13.0,6.6,2.2,4.8,5.4,2.8,76.3,11.0,2.4,2.1,2.8,5.5,23.4
Arkansas,101656.0,6.0,3.0,1.0,2.1,2.4,1.2,83.4,10.1,0.5,1.7,1.5,2.8,20.8
California,174989.0,35.0,38.4,13.4,24.4,28.1,16.7,73.2,10.9,5.3,2.7,2.6,5.2,26.4
Colorado,88565.0,15.0,5.3,2.1,3.8,4.7,2.6,74.7,9.7,3.3,2.9,2.5,6.9,22.9
Connecticut,21474.0,4.0,3.6,1.5,2.5,2.9,1.7,77.9,8.3,5.1,3.1,1.2,4.3,24.4
Delaware,6393.0,1.0,0.9,0.4,0.7,0.9,0.4,80.3,9.1,3.5,2.1,1.2,3.7,24.5
District of Columbia,1501.0,0.0,0.6,0.5,0.4,0.3,0.3,32.3,5.3,38.5,13.6,5.9,4.4,28.6
Florida,122088.0,25.0,19.6,7.1,13.7,15.1,8.4,79.6,9.4,2.1,1.5,2.2,5.1,24.8
Georgia,128620.0,9.0,10.0,3.5,6.6,7.8,4.3,79.6,10.3,2.1,1.5,1.7,4.9,25.7
Hawaii,4430.0,7.0,1.4,0.5,0.9,1.3,0.7,67.6,13.5,6.1,4.2,4.2,4.4,25.6
Idaho,48082.0,7.0,1.6,0.5,1.1,1.7,0.7,78.8,9.6,0.7,3.1,2.3,5.5,19.0
Illinois,145708.0,17.0,12.9,5.2,8.3,10.2,6.0,73.6,8.3,9.1,3.1,1.6,4.2,26.9
Indiana,97553.0,11.0,6.6,2.6,4.5,5.6,3.0,83.0,8.8,1.2,2.0,1.7,3.3,22.4
Iowa,114429.0,7.0,3.1,1.3,2.1,3.5,1.5,80.9,8.6,1.1,3.7,1.6,4.2,18.1
Kansas,140687.0,10.0,2.9,1.2,2.0,2.6,1.4,82.4,9.1,0.5,2.5,1.5,4.0,18.4
Kentucky,79598.0,6.0,4.4,1.5,3.0,4.0,1.9,82.8,9.6,1.1,2.3,1.2,3.2,21.9
Louisiana,61427.0,9.0,4.6,1.7,3.3,4.0,2.0,82.6,9.6,1.3,1.7,2.3,2.4,24.6
Maine,22882.0,4.0,1.3,0.5,1.0,1.2,0.6,77.4,10.6,0.7,3.9,1.6,5.7,22.0
Maryland,32422.0,3.0,5.9,2.2,4.1,3.8,2.9,74.0,9.0,9.1,2.4,1.2,4.2,31.1
Massachusetts,36370.0,8.0,6.7,3.1,4.8,5.0,3.3,71.8,7.4,9.9,4.8,1.7,4.4,27.3
Michigan,122141.0,20.0,9.9,3.5,7.0,8.2,4.3,82.4,8.8,1.5,2.2,1.3,3.8,23.1
Minnesota,138767.0,9.0,5.4,2.5,3.3,5.2,2.8,78.4,8.6,3.6,2.9,1.6,4.9,21.9
Mississippi,75116.0,11.0,3.0,0.9,2.0,2.1,1.2,84.0,10.3,0.4,1.5,1.7,1.9,23.2
Missouri,131900.0,11.0,6.0,2.4,4.3,5.8,2.8,81.7,9.2,1.6,2.0,1.4,4.1,22.3
Montana,74933.0,11.0,1.0,0.4,0.8,1.5,0.5,75.1,10.1,0.7,5.3,2.8,6.0,16.9
Nebraska,93770.0,9.0,1.9,0.8,1.4,1.9,1.0,81.5,9.3,0.8,2.7,1.3,4.4,17.3
Nevada,40139.0,5.0,2.8,1.0,1.8,2.2,1.2,78.4,10.5,3.4,2.2,1.9,3.6,22.8
New Hamphshire,16098.0,2.0,1.3,0.6,1.1,1.4,0.7,81.2,8.1,1.0,3.1,1.1,5.4,25.4
New Jersey,39293.0,4.0,8.9,3.5,6.1,7.1,4.2,72.0,8.0,11.1,2.9,2.0,4.0,29.7
New Mexico,70772.0,10.0,2.1,0.6,1.5,1.9,0.9,79.2,10.5,1.1,2.3,2.6,4.4,20.5
New York,114728.0,24.0,19.7,7.7,11.2,10.7,9.0,52.8,6.9,27.9,6.4,2.0,4.0,30.8
North Carolina,106202.0,15.0,9.8,3.4,6.8,7.8,4.3,81.1,10.0,1.1,1.9,1.3,4.5,22.8
North Dakota,87078.0,8.0,0.7,0.3,0.5,0.8,0.4,79.0,10.1,0.4,4.5,1.6,4.4,17.1
Ohio,123297.0,12.0,11.6,4.6,8.0,10.4,5.2,83.6,7.8,1.7,2.2,1.2,3.5,22.4
Oklahoma,112940.0,4.0,3.9,1.3,2.4,3.5,1.7,83.4,9.7,0.5,1.7,1.4,3.4,20.6
Oregon,71228.0,9.0,3.9,1.4,2.8,3.6,1.7,71.6,10.3,4.3,4.0,3.5,6.3,21.4
Pennsylvania,119936.0,16.0,12.8,5.2,8.9,10.5,5.9,76.8,8.3,5.6,3.9,1.5,3.9,25.0
Rhode Island,6106.0,1.0,1.1,0.4,0.7,0.9,0.5,80.3,8.0,2.7,4.1,1.8,3.1,23.2
South Carolina,66232.0,8.0,4.8,1.6,3.5,4.0,2.1,82.9,9.0,0.7,2.5,1.6,3.3,22.9
South Dakota,82558.0,7.0,0.8,0.3,0.6,1.0,0.4,79.7,9.2,0.3,4.2,1.4,5.2,16.1
Tennessee,95536.0,8.0,6.5,2.4,4.6,5.5,2.8,83.9,9.2,0.7,1.4,1.3,3.5,23.7
Texas,313228.0,30.0,26.5,9.7,15.4,20.2,11.9,80.2,10.7,1.6,1.6,1.8,4.1,24.4
Utah,46254.0,9.0,2.9,1.1,1.7,2.1,1.3,76.0,11.8,2.3,2.6,2.1,5.1,20.1
Vermont,14266.0,2.0,0.6,0.3,0.5,0.6,0.3,75.4,9.7,1.2,5.3,1.6,6.8,21.0
Virginia,74748.0,9.0,8.3,3.1,5.6,7.1,4.0,77.4,9.4,4.4,2.5,1.8,4.5,26.4
Washington,82448.0,11.0,7.0,2.4,5.3,6.4,3.2,72.7,10.1,6.3,3.5,2.2,5.3,24.6
West Virginia,38750.0,7.0,1.9,0.6,1.2,1.5,0.7,81.5,10.8,0.7,2.8,1.2,3.1,25.0
Wisconsin,115145.0,9.0,5.7,2.4,4.2,5.3,2.8,80.5,8.2,2.0,3.5,1.7,4.1,21.2
Wyoming,29024.0,10.0,0.6,0.2,0.4,0.8,0.3,77.1,10.8,1.5,4.6,2.3,3.7,16.9
United States,4115465.0,523.0,316.5,118.3,212.2,255.9,143.0,76.4,9.4,5.2,2.8,1.9,4.4,24.7
